Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,4096,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,4096,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,4096,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,8192,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,8192,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,8192,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,16384,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,16384,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,128,16384,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,4096,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,4096,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,4096,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,8192,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,8192,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,8192,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,16384,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,16384,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,256,16384,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,512,4096,1,2048,sonnet,1800,128,,1000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,512,4096,1,2048,sonnet,1800,128,,2000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,512,4096,1,2048,sonnet,1800,128,,3000
b200-8,Qwen/Qwen2.5-1.5B-Instruct,512,8192,1,2048,sonnet,1800,128,,1000
